inventory_id,store_id,product_id,stock_quantity,last_updated
I000001,S001,P001,405,2026-01-01
I000002,S001,P002,235,2026-01-01
I000003,S001,P003,93,2026-01-01
I000004,S001,P004,64,2026-01-01
I000005,S001,P005,431,2026-01-01
I000006,S001,P006,344,2026-01-01
I000007,S001,P007,243,2026-01-01
I000008,S001,P008,260,2026-01-01
I000009,S001,P009,121,2026-01-01
I000010,S001,P010,265,2026-01-01
I000011,S002,P001,239,2026-01-01
I000012,S002,P002,332,2026-01-01
I000013,S002,P003,168,2026-01-01
I000014,S002,P004,302,2026-01-01
I000015,S002,P005,151,2026-01-01
I000016,S002,P006,370,2026-01-01
I000017,S002,P007,137,2026-01-01
I000018,S002,P008,190,2026-01-01
I000019,S002,P009,438,2026-01-01
I000020,S002,P010,323,2026-01-01
I000021,S003,P001,351,2026-01-01
I000022,S003,P002,255,2026-01-01
I000023,S003,P003,413,2026-01-01
I000024,S003,P004,184,2026-01-01
I000025,S003,P005,378,2026-01-01
I000026,S003,P006,378,2026-01-01
I000027,S003,P007,308,2026-01-01
I000028,S003,P008,235,2026-01-01
I000029,S003,P009,93,2026-01-01
I000030,S003,P010,131,2026-01-01
I000031,S004,P001,223,2026-01-01
I000032,S004,P002,114,2026-01-01
I000033,S004,P003,465,2026-01-01
I000034,S004,P004,462,2026-01-01
I000035,S004,P005,180,2026-01-01
I000036,S004,P006,413,2026-01-01
I000037,S004,P007,166,2026-01-01
I000038,S004,P008,383,2026-01-01
I000039,S004,P009,300,2026-01-01
I000040,S004,P010,241,2026-01-01
I000041,S005,P001,409,2026-01-01
I000042,S005,P002,208,2026-01-01
I000043,S005,P003,273,2026-01-01
I000044,S005,P004,263,2026-01-01
I000045,S005,P005,132,2026-01-01
I000046,S005,P006,255,2026-01-01
I000047,S005,P007,427,2026-01-01
I000048,S005,P008,132,2026-01-01
I000049,S005,P009,116,2026-01-01
I000050,S005,P010,398,2026-01-01
I000051,S006,P001,437,2026-01-01
I000052,S006,P002,260,2026-01-01
I000053,S006,P003,151,2026-01-01
I000054,S006,P004,399,2026-01-01
I000055,S006,P005,421,2026-01-01
I000056,S006,P006,341,2026-01-01
I000057,S006,P007,389,2026-01-01
I000058,S006,P008,272,2026-01-01
I000059,S006,P009,338,2026-01-01
I000060,S006,P010,349,2026-01-01
I000061,S007,P001,23,2026-01-01
I000062,S007,P002,206,2026-01-01
I000063,S007,P003,0,2026-01-01
I000064,S007,P004,103,2026-01-01
I000065,S007,P005,200,2026-01-01
I000066,S007,P006,109,2026-01-01
I000067,S007,P007,76,2026-01-01
I000068,S007,P008,399,2026-01-01
I000069,S007,P009,76,2026-01-01
I000070,S007,P010,360,2026-01-01
I000071,S008,P001,254,2026-01-01
I000072,S008,P002,386,2026-01-01
I000073,S008,P003,144,2026-01-01
I000074,S008,P004,490,2026-01-01
I000075,S008,P005,170,2026-01-01
I000076,S008,P006,264,2026-01-01
I000077,S008,P007,324,2026-01-01
I000078,S008,P008,74,2026-01-01
I000079,S008,P009,276,2026-01-01
I000080,S008,P010,101,2026-01-01
