order_id,customer_id,store_id,order_date,payment_method,order_status
O000001,C08237,S006,2026-04-04,Cash,Completed
O000002,C03110,S006,2026-06-13,Credit Card,Completed
O000003,C04349,S004,2025-11-24,Debit,Completed
O000004,C06733,S001,2025-10-17,Cash,Completed
O000005,C04598,S005,2026-02-05,Credit Card,Completed
O000006,C04978,S006,2026-05-07,Cash,Completed
O000007,C03034,S007,2026-04-24,Debit,Completed
O000008,C06678,S003,2026-05-01,Debit,Completed
O000009,C08457,S006,2025-09-04,Credit Card,Completed
O000010,C07065,S008,2025-08-18,Cash,Completed
O000011,C08741,S008,2026-02-17,Credit Card,Completed
O000012,C01428,S005,2026-04-13,Credit Card,Completed
O000013,C09528,S006,2025-10-24,Cash,Completed
O000014,C02087,S005,2025-11-27,Debit,Completed
O000015,C07645,S005,2025-11-09,Cash,Completed
O000016,C08834,S004,2026-02-23,Credit Card,Completed
O000017,C08355,S001,2025-10-16,Cash,Completed
O000018,C07087,S002,2026-04-06,Debit,Completed
O000019,C01743,S007,2025-10-03,Credit Card,Completed
O000020,C05808,S005,2025-09-27,Cash,Completed
O000021,C01509,S005,2025-09-24,Credit Card,Completed
O000022,C01695,S002,2025-08-28,Credit Card,Completed
O000023,C00040,S003,2025-10-13,Debit,Completed
O000024,C09031,S002,2025-11-12,Debit,Completed
O000025,C09152,S006,2026-02-12,Credit Card,Completed
O000026,C00741,S005,2026-07-23,Cash,Completed
O000027,C05256,S006,2026-06-22,Debit,Completed
O000028,C03446,S008,2025-11-14,Credit Card,Completed
O000029,C02022,S004,2025-08-07,Cash,Completed
O000030,C07912,S007,2025-09-11,Debit,Completed
O000031,C01780,S008,2025-11-01,Debit,Completed
O000032,C01398,S006,2025-12-07,Debit,Completed
O000033,C02560,S005,2026-03-19,Cash,Completed
O000034,C09473,S001,2025-10-27,Debit,Completed
O000035,C09210,S003,2026-03-15,Cash,Completed
O000036,C07796,S003,2025-11-11,Credit Card,Completed
O000037,C09709,S006,2026-01-07,Debit,Completed
O000038,C05170,S001,2025-12-15,Debit,Completed
O000039,C06465,S008,2025-11-16,Credit Card,Completed
O000040,C04900,S005,2026-07-08,Debit,Completed
O000041,C02046,S004,2025-09-19,Credit Card,Completed
O000042,C08516,S006,2026-06-28,Debit,Completed
O000043,C00846,S003,2025-11-27,Credit Card,Completed
O000044,C03411,S002,2025-09-16,Credit Card,Completed
O000045,C06457,S002,2026-05-30,Cash,Completed
O000046,C07531,S001,2026-04-23,Debit,Completed
O000047,C04155,S001,2025-10-08,Debit,Completed
O000048,C00456,S004,2025-08-15,Debit,Completed
